kant_CODE,kant_name,keskus_CODE,keskus_name,population,workers,share_to_center,top_pt_dest,n_trips_to_top,total_outbound_trips,n_trips_to_keskus,n_services_to_keskus,median_travel_time_min,avg_travel_time_min,min_travel_time_min,max_travel_time_min,first_departure_hour,last_departure_hour,service_span_hours,avg_frequency_min,am_peak_services,off_peak_services,hours_with_service,cv_hourly,pm_return_services,pm_return_hours_covered,prop_to_keskus,pt_matches_commute,has_pt_service,has_am_service,has_pm_return,return_feasible,is_center
K001,Aakre,K674,Tartu linn,NA,NA,NA,K049,9,23,6,6,66,70.7,55,98,6,20,14,171.2,1,5,5,0.37267799624996506,2,2,0.2608695652173913,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K002,Aardla,K674,Tartu linn,NA,NA,NA,K674,18,26,18,18,22.5,30.8,17,88,6,19,13,46.9,4,14,10,0.5105203241514897,6,4,0.6923076923076923,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K003,Aarna,K523,Põlva linn,NA,NA,NA,K523,8,11,8,8,5,5.4,5,7,7,19,12,102.9,2,6,7,0.33071891388307384,2,2,0.7272727272727273,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K004,Aaspere,K663,Tallinn,NA,NA,NA,K070,13,28,6,6,61,61,56,65,8,18,10,119,0,6,6,0,3,3,0.21428571428571427,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
K006,Abja-Paluoja linn,K789,Viljandi linn,NA,NA,NA,K789,17,35,17,17,49,48.6,39,70,4,19,15,55.2,5,12,11,0.44488636238091855,6,4,0.4857142857142857,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K005,Abja,K789,Viljandi linn,NA,NA,NA,K006,14,28,12,12,55.5,54.8,46,66,4,19,15,79.9,2,10,10,0.35136418446315326,4,3,0.42857142857142855,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K008,Adavere,K521,Põltsamaa linn,NA,NA,NA,K522,26,41,13,13,10,10.4,10,12,6,20,14,68.3,2,11,11,0.3422860840197998,5,4,0.3170731707317073,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K009,Adila-Pihali,K663,Tallinn,NA,NA,NA,K065,2,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K010,Aegviidu alev,K663,Tallinn,NA,NA,NA,K663,23,39,23,23,54,50.7,43,58,5,23,18,49.5,4,19,16,0.437671561464971,5,4,0.5897435897435898,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K011,Ahja,K674,Tartu linn,NA,NA,NA,K399,11,20,6,6,42.5,41.3,37,44,6,18,12,141.8,1,5,6,0,2,2,0.3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K225,Kohtla-Järve linn,K225,Kohtla-Järve linn,NA,NA,NA,K118,349,414,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
K012,Ahula,K663,Tallinn,NA,NA,NA,K030,8,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K013,Ahunapalu,K674,Tartu linn,NA,NA,NA,K674,3,5,3,3,75,72,66,75,6,17,11,340,1,2,3,0,2,2,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K014,Aidu,K213,Kiviõli linn,NA,NA,NA,K380,3,3,1,1,19,19,19,19,16,16,0,NA,0,1,1,NA,2,2,0.3333333333333333,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
K015,Aidu,K115,Jõgeva linn,NA,NA,NA,K115,13,24,13,13,19,18.7,14,24,7,18,11,57.3,3,10,9,0.36487819155789,3,2,0.5416666666666666,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K017,Alatskivi,K674,Tartu linn,NA,NA,NA,K674,18,33,18,18,65,65.8,47,102,6,18,12,43.2,6,12,10,0.6829292190587324,7,4,0.5454545454545454,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K018,Alavere,K663,Tallinn,NA,NA,NA,K189,6,19,2,2,69.5,69.5,69,70,6,15,9,545,1,1,2,0,1,1,0.10526315789473684,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K019,Albu,K663,Tallinn,NA,NA,NA,K010,2,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K020,Alu,K554,Rapla,NA,NA,NA,K554,23,31,23,23,5,5.2,5,9,6,22,16,43,5,18,16,0.5662198468208594,6,4,0.7419354838709677,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K021,Ambla,K663,Tallinn,NA,NA,NA,K012,6,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K022,Andineeme,K663,Tallinn,NA,NA,NA,K663,2,4,2,2,78.5,78.5,78,79,6,13,7,418,1,1,2,0,0,0,0.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
K023,Anija,K663,Tallinn,NA,NA,NA,K190,4,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K024,Anna,K458,Paide linn,NA,NA,NA,K458,8,18,8,8,19,20.1,11,36,6,20,14,115.6,1,7,8,0,3,2,0.4444444444444444,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
